,Factor,Nodo,Valor,Fecha
668,IPC,1Y,1.638742693,20180925
669,IPC,20Y,4.118841176,20180925
670,IPC,25Y,4.121594444,20180925
671,IPC,2M,1.40139,20180925
672,IPC,2Y,2.047022527,20180925
673,IPC,3MO,1.447789655,20180925
674,IPC,3Y,2.270825843,20180925
675,IPC,4MO,1.542320313,20180925
676,IPC,4Y,2.501801205,20180925
677,IPC,5Y,2.68248,20180925
678,IPC,6MO,1.623771698,20180925
679,IPC,9MO,1.577296429,20180925
680,FS,10Y,7.082112676,20180926
681,FS,15Y,4.962,20180926
682,FS,18MO,5.118631714,20180926
683,FS,1MO,4.424442136,20180926
684,FS,1Y,4.920770404,20180926
685,FS,2M,4.581342995,20180926
686,FS,2Y,5.603410714,20180926
687,FS,3MO,4.602647551,20180926
688,FS,3Y,6.01839899,20180926
689,FS,4MO,4.668844523,20180926
690,FS,4Y,6.410152542,20180926
691,FS,5Y,6.574745455,20180926
692,FS,6MO,4.768259804,20180926
693,FS,9MO,4.75956383,20180926
694,IB1,18MO,0.801685223,20180926
695,IB1,1MO,0.215786301,20180926
696,IB1,1Y,0.677752096,20180926
697,IB1,2M,0.331016456,20180926
698,IB1,2Y,0.861983916,20180926
699,IB1,3MO,0.399660274,20180926
700,IB1,3Y,0.951664,20180926
701,IB1,4MO,0.444698795,20180926
702,IB1,6MO,0.525293035,20180926
703,IB1,9MO,0.547332979,20180926
704,IPC,10Y,3.213874742,20180926
705,IPC,15Y,3.884544444,20180926
706,IPC,18MO,1.780727758,20180926
707,IPC,1MO,1.215988333,20180926
708,IPC,1Y,1.652638905,20180926
709,IPC,20Y,4.128811765,20180926
710,IPC,25Y,4.126327778,20180926
711,IPC,2M,1.390846809,20180926
712,IPC,2Y,2.056395604,20180926
713,IPC,3MO,1.439117241,20180926
714,IPC,3Y,2.253549438,20180926
